year,month,nao,day,datetime
1971,6,-1.57,30,1971-06-30
1971,7,0.24,31,1971-07-31
1971,8,1.55,31,1971-08-31
1971,9,0.39,30,1971-09-30
1971,10,0.58,31,1971-10-31
1971,11,-0.2,30,1971-11-30
1971,12,0.6,31,1971-12-31
1972,1,0.27,31,1972-01-31
1972,2,0.32,29,1972-02-29
1972,3,0.72,31,1972-03-31
1972,4,-0.22,30,1972-04-30
1972,5,0.95,31,1972-05-31
1972,6,0.88,30,1972-06-30
1972,7,0.18,31,1972-07-31
1972,8,1.32,31,1972-08-31
1972,9,-0.12,30,1972-09-30
1972,10,1.09,31,1972-10-31
1972,11,0.54,30,1972-11-30
1972,12,0.19,31,1972-12-31
1973,1,0.04,31,1973-01-31
1973,2,0.85,28,1973-02-28
1973,3,0.3,31,1973-03-31
1973,4,-0.54,30,1973-04-30
1973,5,-0.44,31,1973-05-31
1973,6,0.39,30,1973-06-30
1973,7,0.57,31,1973-07-31
1973,8,-0.06,31,1973-08-31
1973,9,-0.3,30,1973-09-30
1973,10,-1.24,31,1973-10-31
1973,11,-0.93,30,1973-11-30
1973,12,0.32,31,1973-12-31
1974,1,1.34,31,1974-01-31
1974,2,-0.14,28,1974-02-28
1974,3,-0.03,31,1974-03-31
1974,4,0.51,30,1974-04-30
1974,5,-0.24,31,1974-05-31
1974,6,-0.14,30,1974-06-30
1974,7,-0.76,31,1974-07-31
1974,8,-0.64,31,1974-08-31
1974,9,0.82,30,1974-09-30
1974,10,0.49,31,1974-10-31
1974,11,-0.54,30,1974-11-30
1974,12,1.5,31,1974-12-31
1975,1,0.58,31,1975-01-31
1975,2,-0.62,28,1975-02-28
1975,3,-0.61,31,1975-03-31
1975,4,-1.6,30,1975-04-30
1975,5,-0.52,31,1975-05-31
1975,6,-0.84,30,1975-06-30
1975,7,1.55,31,1975-07-31
1975,8,-0.26,31,1975-08-31
1975,9,1.56,30,1975-09-30
1975,10,-0.54,31,1975-10-31
1975,11,0.41,30,1975-11-30
1975,12,0.0,31,1975-12-31
1976,1,-0.25,31,1976-01-31
1976,2,0.93,29,1976-02-29
1976,3,0.75,31,1976-03-31
1976,4,0.26,30,1976-04-30
1976,5,0.96,31,1976-05-31
1976,6,0.8,30,1976-06-30
1976,7,-0.32,31,1976-07-31
1976,8,1.92,31,1976-08-31
1976,9,-1.29,30,1976-09-30
1976,10,-0.08,31,1976-10-31
1976,11,0.17,30,1976-11-30
1976,12,-1.6,31,1976-12-31
1977,1,-1.04,31,1977-01-31
1977,2,-0.49,28,1977-02-28
1977,3,-0.81,31,1977-03-31
1977,4,0.65,30,1977-04-30
1977,5,-0.86,31,1977-05-31
1977,6,-0.57,30,1977-06-30
1977,7,-0.45,31,1977-07-31
1977,8,-0.28,31,1977-08-31
1977,9,0.37,30,1977-09-30
1977,10,0.52,31,1977-10-31
1977,11,-0.07,30,1977-11-30
1977,12,-1.0,31,1977-12-31
1978,1,0.66,31,1978-01-31
1978,2,-2.2,28,1978-02-28
1978,3,0.7,31,1978-03-31
1978,4,-1.17,30,1978-04-30
1978,5,1.08,31,1978-05-31
1978,6,1.38,30,1978-06-30
1978,7,-1.14,31,1978-07-31
1978,8,0.64,31,1978-08-31
1978,9,0.46,30,1978-09-30
1978,10,1.93,31,1978-10-31
1978,11,3.04,30,1978-11-30
1978,12,-1.57,31,1978-12-31
1979,1,-1.38,31,1979-01-31
1979,2,-0.67,28,1979-02-28
1979,3,0.78,31,1979-03-31
1979,4,-1.71,30,1979-04-30
1979,5,-1.03,31,1979-05-31
1979,6,1.6,30,1979-06-30
1979,7,0.83,31,1979-07-31
1979,8,0.96,31,1979-08-31
1979,9,1.01,30,1979-09-30
1979,10,-0.3,31,1979-10-31
1979,11,0.53,30,1979-11-30
1979,12,1.0,31,1979-12-31
1980,1,-0.75,31,1980-01-31
1980,2,0.05,29,1980-02-29
1980,3,-0.31,31,1980-03-31
1980,4,1.29,30,1980-04-30
1980,5,-1.5,31,1980-05-31
1980,6,-0.37,30,1980-06-30
1980,7,-0.42,31,1980-07-31
1980,8,-2.24,31,1980-08-31
1980,9,0.66,30,1980-09-30
1980,10,-1.77,31,1980-10-31
1980,11,-0.37,30,1980-11-30
1980,12,0.78,31,1980-12-31
1981,1,0.37,31,1981-01-31
1981,2,0.92,28,1981-02-28
1981,3,-1.19,31,1981-03-31
1981,4,0.36,30,1981-04-30
1981,5,0.2,31,1981-05-31
1981,6,-0.45,30,1981-06-30
1981,7,0.05,31,1981-07-31
1981,8,0.39,31,1981-08-31
1981,9,-1.45,30,1981-09-30
1981,10,-1.35,31,1981-10-31
1981,11,-0.38,30,1981-11-30
1981,12,-0.02,31,1981-12-31
1982,1,-0.89,31,1982-01-31
1982,2,1.15,28,1982-02-28
1982,3,1.15,31,1982-03-31
1982,4,0.1,30,1982-04-30
1982,5,-0.53,31,1982-05-31
1982,6,-1.63,30,1982-06-30
1982,7,1.15,31,1982-07-31
1982,8,0.26,31,1982-08-31
1982,9,1.76,30,1982-09-30
1982,10,-0.74,31,1982-10-31
1982,11,1.6,30,1982-11-30
1982,12,1.78,31,1982-12-31
1983,1,1.59,31,1983-01-31
1983,2,-0.53,28,1983-02-28
1983,3,0.95,31,1983-03-31
1983,4,-0.85,30,1983-04-30
1983,5,-0.07,31,1983-05-31
1983,6,0.99,30,1983-06-30
1983,7,1.19,31,1983-07-31
1983,8,1.61,31,1983-08-31
1983,9,-1.12,30,1983-09-30
1983,10,0.65,31,1983-10-31
1983,11,-0.98,30,1983-11-30
1983,12,0.29,31,1983-12-31
1984,1,1.66,31,1984-01-31
1984,2,0.72,29,1984-02-29
1984,3,-0.37,31,1984-03-31
1984,4,-0.28,30,1984-04-30
1984,5,0.54,31,1984-05-31
1984,6,-0.42,30,1984-06-30
1984,7,-0.07,31,1984-07-31
1984,8,1.15,31,1984-08-31
1984,9,0.17,30,1984-09-30
1984,10,-0.07,31,1984-10-31
1984,11,-0.06,30,1984-11-30
1984,12,0.0,31,1984-12-31
1985,1,-1.61,31,1985-01-31
1985,2,-0.49,28,1985-02-28
1985,3,0.2,31,1985-03-31
1985,4,0.32,30,1985-04-30
1985,5,-0.49,31,1985-05-31
1985,6,-0.8,30,1985-06-30
1985,7,1.22,31,1985-07-31
1985,8,-0.48,31,1985-08-31
1985,9,-0.52,30,1985-09-30
1985,10,0.9,31,1985-10-31
1985,11,-0.67,30,1985-11-30
1985,12,0.22,31,1985-12-31
1986,1,1.11,31,1986-01-31
1986,2,-1.0,28,1986-02-28
1986,3,1.71,31,1986-03-31
1986,4,-0.59,30,1986-04-30
1986,5,0.85,31,1986-05-31
1986,6,1.22,30,1986-06-30
1986,7,0.12,31,1986-07-31
1986,8,-1.09,31,1986-08-31
1986,9,-1.12,30,1986-09-30
1986,10,1.55,31,1986-10-31
1986,11,2.29,30,1986-11-30
1986,12,0.99,31,1986-12-31
1987,1,-1.15,31,1987-01-31
1987,2,-0.73,28,1987-02-28
1987,3,0.14,31,1987-03-31
1987,4,2.0,30,1987-04-30
1987,5,0.98,31,1987-05-31
1987,6,-1.82,30,1987-06-30
1987,7,0.52,31,1987-07-31
1987,8,-0.83,31,1987-08-31
1987,9,-1.22,30,1987-09-30
1987,10,0.14,31,1987-10-31
1987,11,0.18,30,1987-11-30
1987,12,0.32,31,1987-12-31
1988,1,1.02,31,1988-01-31
1988,2,0.76,29,1988-02-29
1988,3,-0.17,31,1988-03-31
1988,4,-1.17,30,1988-04-30
1988,5,0.63,31,1988-05-31
1988,6,0.88,30,1988-06-30
1988,7,-0.35,31,1988-07-31
1988,8,0.04,31,1988-08-31
1988,9,-0.99,30,1988-09-30
1988,10,-1.08,31,1988-10-31
1988,11,-0.34,30,1988-11-30
1988,12,0.61,31,1988-12-31
1989,1,1.17,31,1989-01-31
1989,2,2.0,28,1989-02-28
1989,3,1.85,31,1989-03-31
1989,4,0.28,30,1989-04-30
1989,5,1.38,31,1989-05-31
1989,6,-0.27,30,1989-06-30
1989,7,0.97,31,1989-07-31
1989,8,0.01,31,1989-08-31
1989,9,2.05,30,1989-09-30
1989,10,-0.03,31,1989-10-31
1989,11,0.16,30,1989-11-30
1989,12,-1.15,31,1989-12-31
1990,1,1.04,31,1990-01-31
1990,2,1.41,28,1990-02-28
1990,3,1.46,31,1990-03-31
1990,4,2.0,30,1990-04-30
1990,5,-1.53,31,1990-05-31
1990,6,-0.02,30,1990-06-30
1990,7,0.53,31,1990-07-31
1990,8,0.97,31,1990-08-31
1990,9,1.06,30,1990-09-30
1990,10,0.23,31,1990-10-31
1990,11,-0.24,30,1990-11-30
1990,12,0.22,31,1990-12-31
1991,1,0.86,31,1991-01-31
1991,2,1.04,28,1991-02-28
1991,3,-0.2,31,1991-03-31
1991,4,0.29,30,1991-04-30
1991,5,0.08,31,1991-05-31
1991,6,-0.82,30,1991-06-30
1991,7,-0.49,31,1991-07-31
1991,8,1.23,31,1991-08-31
1991,9,0.48,30,1991-09-30
1991,10,-0.19,31,1991-10-31
1991,11,0.48,30,1991-11-30
1991,12,0.46,31,1991-12-31
1992,1,-0.13,31,1992-01-31
1992,2,1.07,29,1992-02-29
1992,3,0.87,31,1992-03-31
1992,4,1.86,30,1992-04-30
1992,5,2.63,31,1992-05-31
1992,6,0.2,30,1992-06-30
1992,7,0.16,31,1992-07-31
1992,8,0.85,31,1992-08-31
1992,9,-0.44,30,1992-09-30
1992,10,-1.76,31,1992-10-31
1992,11,1.19,30,1992-11-30
1992,12,0.47,31,1992-12-31
1993,1,1.6,31,1993-01-31
1993,2,0.5,28,1993-02-28
1993,3,0.67,31,1993-03-31
1993,4,0.97,30,1993-04-30
1993,5,-0.78,31,1993-05-31
1993,6,-0.59,30,1993-06-30
1993,7,-3.18,31,1993-07-31
1993,8,0.12,31,1993-08-31
1993,9,-0.57,30,1993-09-30
1993,10,-0.71,31,1993-10-31
1993,11,2.56,30,1993-11-30
1993,12,1.56,31,1993-12-31
1994,1,1.04,31,1994-01-31
1994,2,0.46,28,1994-02-28
1994,3,1.26,31,1994-03-31
1994,4,1.14,30,1994-04-30
1994,5,-0.57,31,1994-05-31
1994,6,1.52,30,1994-06-30
1994,7,1.31,31,1994-07-31
1994,8,0.38,31,1994-08-31
1994,9,-1.32,30,1994-09-30
1994,10,-0.97,31,1994-10-31
1994,11,0.64,30,1994-11-30
1994,12,2.02,31,1994-12-31
1995,1,0.93,31,1995-01-31
1995,2,1.14,28,1995-02-28
1995,3,1.25,31,1995-03-31
1995,4,-0.85,30,1995-04-30
1995,5,-1.49,31,1995-05-31
1995,6,0.13,30,1995-06-30
1995,7,-0.22,31,1995-07-31
1995,8,0.69,31,1995-08-31
1995,9,0.31,30,1995-09-30
1995,10,0.19,31,1995-10-31
1995,11,-1.38,30,1995-11-30
1995,12,-1.67,31,1995-12-31
1996,1,-0.12,31,1996-01-31
1996,2,-0.07,29,1996-02-29
1996,3,-0.24,31,1996-03-31
1996,4,-0.17,30,1996-04-30
1996,5,-1.06,31,1996-05-31
1996,6,0.56,30,1996-06-30
1996,7,0.67,31,1996-07-31
1996,8,1.02,31,1996-08-31
1996,9,-0.86,30,1996-09-30
1996,10,-0.33,31,1996-10-31
1996,11,-0.56,30,1996-11-30
1996,12,-1.41,31,1996-12-31
1997,1,-0.49,31,1997-01-31
1997,2,1.7,28,1997-02-28
1997,3,1.46,31,1997-03-31
1997,4,-1.02,30,1997-04-30
1997,5,-0.28,31,1997-05-31
1997,6,-1.47,30,1997-06-30
1997,7,0.34,31,1997-07-31
1997,8,0.83,31,1997-08-31
1997,9,0.61,30,1997-09-30
1997,10,-1.7,31,1997-10-31
1997,11,-0.9,30,1997-11-30
1997,12,-0.96,31,1997-12-31
1998,1,0.39,31,1998-01-31
1998,2,-0.11,28,1998-02-28
1998,3,0.87,31,1998-03-31
1998,4,-0.68,30,1998-04-30
1998,5,-1.32,31,1998-05-31
1998,6,-2.72,30,1998-06-30
1998,7,-0.48,31,1998-07-31
1998,8,-0.02,31,1998-08-31
1998,9,-2.0,30,1998-09-30
1998,10,-0.29,31,1998-10-31
1998,11,-0.28,30,1998-11-30
1998,12,0.87,31,1998-12-31
